grafo_id,n,p,seed,r_qiea,r_hybrid,r_cobyla,r_cobyla_restart,qiea_evals,refine_evals
0,8,1,0,0.814406,0.815061,0.815061,0.815061,2000,30
0,8,1,1,0.813791,0.815061,0.815061,0.815061,2000,40
0,8,1,2,0.815042,0.815061,0.815061,0.815061,2000,32
0,8,1,3,0.813791,0.815061,0.815061,0.815061,2000,40
0,8,1,4,0.814406,0.815061,0.815061,0.815061,2000,30
0,8,1,5,0.815042,0.815061,0.815061,0.815061,2000,27
0,8,1,6,0.815042,0.815061,0.815061,0.815061,2000,32
0,8,1,7,0.815028,0.815061,0.815061,0.815061,2000,43
0,8,1,8,0.815042,0.815061,0.815061,0.815061,2000,32
0,8,1,9,0.814817,0.815061,0.815061,0.815061,2000,34
0,8,1,10,0.814817,0.815061,0.815061,0.815061,2000,34
0,8,1,11,0.814817,0.815061,0.815061,0.815061,2000,33
0,8,1,12,0.814406,0.815061,0.6,0.815061,2000,38
0,8,1,13,0.815028,0.815061,0.815061,0.815061,2000,32
0,8,1,14,0.815042,0.815061,0.815061,0.815061,2000,27
0,8,1,15,0.815042,0.815061,0.815061,0.815061,2000,32
0,8,1,16,0.815028,0.815061,0.815061,0.815061,2000,32
0,8,1,17,0.815042,0.815061,0.815061,0.815061,2000,32
0,8,1,18,0.815042,0.815061,0.815061,0.815061,2000,27
0,8,1,19,0.814358,0.815061,0.815061,0.815061,2000,36
0,8,2,0,0.881123,0.891152,0.871068,0.898726,4000,200
0,8,2,1,0.875498,0.891148,0.891156,0.898726,4000,200
0,8,2,2,0.887885,0.891156,0.898726,0.898726,4000,200
0,8,2,3,0.898402,0.898726,0.898726,0.898726,4000,51
0,8,2,4,0.890923,0.891156,0.898726,0.898726,4000,163
0,8,2,5,0.879138,0.891155,0.871068,0.898726,4000,200
0,8,2,6,0.898611,0.898726,0.871068,0.898726,4000,60
0,8,2,7,0.890765,0.891156,0.891156,0.898726,4000,171
0,8,2,8,0.861959,0.871068,0.891156,0.898726,4000,200
0,8,2,9,0.866621,0.871067,0.871068,0.898726,4000,200
0,8,2,10,0.898057,0.898726,0.898726,0.898726,4000,63
0,8,2,11,0.875438,0.891156,0.898726,0.898726,4000,178
0,8,2,12,0.869979,0.891154,0.891156,0.898726,4000,200
0,8,2,13,0.889494,0.891156,0.898726,0.898726,4000,200
0,8,2,14,0.894702,0.898726,0.891156,0.898726,4000,67
0,8,2,15,0.882468,0.891155,0.891156,0.898726,4000,200
0,8,2,16,0.872875,0.891156,0.891156,0.898726,4000,200
0,8,2,17,0.872619,0.891153,0.871068,0.898726,4000,200
0,8,2,18,0.871006,0.891152,0.871068,0.898726,4000,200
0,8,2,19,0.895626,0.898726,0.891156,0.898726,4000,70
1,8,1,0,0.800552,0.800692,0.800692,0.800692,2000,31
1,8,1,1,0.800685,0.800692,0.800692,0.800692,2000,29
1,8,1,2,0.800552,0.800692,0.800692,0.800692,2000,39
1,8,1,3,0.800632,0.800692,0.800692,0.800692,2000,36
1,8,1,4,0.800552,0.800692,0.800692,0.800692,2000,31
1,8,1,5,0.800395,0.800692,0.800692,0.800692,2000,36
1,8,1,6,0.800395,0.800692,0.800692,0.800692,2000,31
1,8,1,7,0.800632,0.800692,0.800692,0.800692,2000,35
1,8,1,8,0.800395,0.800692,0.800692,0.800692,2000,31
1,8,1,9,0.800685,0.800692,0.800692,0.800692,2000,28
1,8,1,10,0.800685,0.800692,0.800692,0.800692,2000,28
1,8,1,11,0.800685,0.800692,0.800692,0.800692,2000,29
1,8,1,12,0.800552,0.800692,0.6,0.800692,2000,39
1,8,1,13,0.800632,0.800692,0.800692,0.800692,2000,36
1,8,1,14,0.799953,0.800692,0.800692,0.800692,2000,34
1,8,1,15,0.799747,0.800692,0.800692,0.800692,2000,39
1,8,1,16,0.800552,0.800692,0.800692,0.800692,2000,39
1,8,1,17,0.800395,0.800692,0.800692,0.800692,2000,36
1,8,1,18,0.800552,0.800692,0.800692,0.800692,2000,39
1,8,1,19,0.79831,0.800692,0.800692,0.800692,2000,37
1,8,2,0,0.830245,0.862862,0.857056,0.878424,4000,200
1,8,2,1,0.878243,0.878424,0.862994,0.878424,4000,61
1,8,2,2,0.860356,0.862994,0.862994,0.878424,4000,135
1,8,2,3,0.877766,0.878424,0.857056,0.878424,4000,58
1,8,2,4,0.860951,0.862992,0.878424,0.878424,4000,200
1,8,2,5,0.877799,0.878424,0.857056,0.878424,4000,58
1,8,2,6,0.868694,0.878424,0.857056,0.878424,4000,90
1,8,2,7,0.86209,0.862994,0.862994,0.862994,4000,93
1,8,2,8,0.851915,0.857056,0.862994,0.878424,4000,169
