grafo_id,n,p,optimizer,seed,r_final
0,8,1,qiea,0,0.814406
0,8,1,qiea,1,0.813791
0,8,1,qiea,2,0.815042
0,8,1,qiea,3,0.813791
0,8,1,qiea,4,0.814406
0,8,1,qiea,5,0.815042
0,8,1,qiea,6,0.815042
0,8,1,qiea,7,0.815028
0,8,1,qiea,8,0.815042
0,8,1,qiea,9,0.814817
0,8,1,qiea,10,0.814817
0,8,1,qiea,11,0.814817
0,8,1,qiea,12,0.814406
0,8,1,qiea,13,0.815028
0,8,1,qiea,14,0.815042
0,8,1,qiea,15,0.815042
0,8,1,qiea,16,0.815028
0,8,1,qiea,17,0.815042
0,8,1,qiea,18,0.815042
0,8,1,qiea,19,0.814358
0,8,1,cobyla,0,0.815061
0,8,1,cobyla,1,0.815061
0,8,1,cobyla,2,0.815061
0,8,1,cobyla,3,0.815061
0,8,1,cobyla,4,0.815061
0,8,1,cobyla,5,0.815061
0,8,1,cobyla,6,0.815061
0,8,1,cobyla,7,0.815061
0,8,1,cobyla,8,0.815061
0,8,1,cobyla,9,0.815061
0,8,1,cobyla,10,0.815061
0,8,1,cobyla,11,0.815061
0,8,1,cobyla,12,0.6
0,8,1,cobyla,13,0.815061
0,8,1,cobyla,14,0.815061
0,8,1,cobyla,15,0.815061
0,8,1,cobyla,16,0.815061
0,8,1,cobyla,17,0.815061
0,8,1,cobyla,18,0.815061
0,8,1,cobyla,19,0.815061
0,8,1,random,0,0.814821
0,8,1,random,1,0.814981
0,8,1,random,2,0.815057
0,8,1,random,3,0.814934
0,8,1,random,4,0.81446
0,8,1,random,5,0.814172
0,8,1,random,6,0.814629
0,8,1,random,7,0.814211
0,8,1,random,8,0.815031
0,8,1,random,9,0.814934
0,8,1,random,10,0.814586
0,8,1,random,11,0.814827
0,8,1,random,12,0.814901
0,8,1,random,13,0.8149
0,8,1,random,14,0.815011
0,8,1,random,15,0.814557
0,8,1,random,16,0.814275
0,8,1,random,17,0.814893
0,8,1,random,18,0.814892
0,8,1,random,19,0.814407
0,8,1,cobyla_restart,0,0.815061
0,8,1,cobyla_restart,1,0.815061
0,8,1,cobyla_restart,2,0.815061
0,8,1,cobyla_restart,3,0.815061
0,8,1,cobyla_restart,4,0.815061
0,8,1,cobyla_restart,5,0.815061
0,8,1,cobyla_restart,6,0.815061
0,8,1,cobyla_restart,7,0.815061
0,8,1,cobyla_restart,8,0.815061
0,8,1,cobyla_restart,9,0.815061
0,8,1,cobyla_restart,10,0.815061
0,8,1,cobyla_restart,11,0.815061
0,8,1,cobyla_restart,12,0.815061
0,8,1,cobyla_restart,13,0.815061
0,8,1,cobyla_restart,14,0.815061
